unique,paper,game,matrixrow,matrixcol,actionrow,actioncol,shape,symmetric,repeat,observations
20,stahlwilson1995,9,"[[40, 100, 65], [33, 25, 65], [80, 0, 65]]",,"[26/48, 1/48, 21/48]",,"[3, 3]",1,"[20, 52]",48
21,stahlwilson1995,10,"[[45, 50, 21], [41, 0, 40], [40, 100, 0]]",,"[39/48, 3/48, 6/48]",,"[3, 3]",1,"[21, 53]",48
22,stahlwilson1995,11,"[[30, 100, 22], [35, 0, 45], [51, 50, 20]]",,"[13/48, 4/48, 31/48]",,"[3, 3]",1,"[22, 54, 67]",48
23,stahlwilson1995,12,"[[40, 15, 70], [22, 80, 0], [30, 100, 55]]",,"[26/48, 3/48, 19/48]",,"[3, 3]",1,"[23, 55, 61]",48
24,rogersetal2009,1,"[[40, 60, 10], [10, 10, 60], [40, 40, 40]]",,"[0.33, 0.24, 0.43]",,"[3, 3]",1,,74
25,rogersetal2009,2,"[[50, 10, 10], [10, 20, 20], [10, 20, 20]]","[[10, 20, 20], [20, 10, 10], [20, 10, 10]]","[0.78, 0.10, 0.12]","[0.71, 0.22, 0.07]","[3, 3]",0,,74
26,rogersetal2009,3,"[[21, 10], [21, 10], [20, 20]]","[[21, 20], [21, 20], [10, 20]]","[0.24, 0.17, 0.59]","[0.34, 0.66]","[3, 2]",0,,58
27,rogersetal2009,4,"[[31, 10], [31, 10], [20, 20]]","[[31, 20], [31, 20], [10, 20]]","[0.45, 0.34, 0.21]","[0.90, 0.10]","[3, 2]",0,,58
28,rogersetal2009,5,"[[35, 39, 95], [47, 51, 67], [40, 15, 47]]",,"[0.11, 0.81, 0.07]",,"[3, 3]",1,,74
29,rogersetal2009,6,"[[79, 51, 55], [59, 31, 99], [59, 67, 19]]",,"[0.80, 0.15, 0.06]",,"[3, 3]",1,,74
30,rogersetal2009,7,"[[73, 13, 49], [77, 41, 49], [93, 41, 46]]",,"[0.15, 0.17, 0.69]",,"[3, 3]",1,,74
31,rogersetal2009,8,"[[42, 58, 98], [50, 54, 26], [46, 66, 18]]",,"[0.61, 0.35, 0.04]",,"[3, 3]",1,,74
32,rogersetal2009,9,"[[21, 93, 45], [13, 69, 53], [29, 53, 61]]",,"[0.33, 0.28, 0.39]",,"[3, 3]",1,,74
33,rogersetal2009,10,"[[35, 39, 95], [63, 40, 56], [91, 39, 15]]",,"[0.44, 0.26, 0.30]",,"[3, 3]",1,,74
34,rogersetal2009,11,"[[37, 93, 53], [45, 13, 85], [53, 73, 36]]",,"[0.59, 0.13, 0.28]",,"[3, 3]",1,,74
35,rogersetal2009,12,"[[11, 59, 51], [91, 27, 51], [51, 43, 53]] ",,"[0.17, 0.20, 0.63]",,"[3, 3]",1,,74
36,rogersetal2009,13,"[[50, 98, 70], [44, 38, 70], [82, 18, 70]]",,"[0.65, 0.04, 0.31]",,"[3, 3]",1,,74
37,rogersetal2009,14,"[[47, 51, 28], [44, 11, 43], [43, 91, 11]]",,"[0.52, 0.19, 0.30]",,"[3, 3]",1,,74
38,rogersetal2009,15,"[[41, 97, 35], [45, 17, 53], [58, 57, 33]]",,"[0.50, 0.17, 0.33]",,"[3, 3]",1,,74
39,rogersetal2009,16,"[[50, 30, 74], [36, 82, 18], [42, 98, 62]]",,"[0.24, 0.17, 0.59]",,"[3, 3]",1,,74
40,rogersetal2009,17,"[[30, 10, 10, 10], [30, 10, 10, 10], [10, 10, 30, 30], [10, 30, 10, 30], [10, 30, 30, 10]]","[[10, 30, 30, 30], [10, 30, 30, 30], [30, 30, 10, 10], [30, 10, 30, 10], [30, 10, 10, 30]]","[0.07, 0.07, 0.17, 0.28, 0.41]","[0.38, 0.34, 0.17, 0.10]","[5, 4]",0,,58
41,haruvyetal2001,1,"[[25, 30, 100], [40, 45, 65], [31, 0, 40]]",,"[25/58, 33/58, 0/58]",,"[3, 3]",1,"[12, 41, 58]",58
42,haruvyetal2001,2,"[[75, 40, 45], [70, 15, 100], [70, 60, 0]]",,"[15/58, 31/58, 12/58]",,"[3, 3]",1,"[13, 42, 70]",58
43,haruvyetal2001,3,"[[10, 100, 0], [5, 60, 70], [80, 30, 10]]",,"[15/58, 28/58, 15/58]",,"[3, 3]",1,,58
44,haruvyetal2001,4,"[[70, 90, 38], [100, 0, 40], [88, 48, 43]]",,"[29/58, 10/58, 19/58]",,"[3, 3]",1,"[44, 88]",58
45,haruvyetal2001,5,"[[30, 50, 100], [40, 45, 10], [35, 60, 0]]",,"[45/58, 10/58, 3/58]",,"[3, 3]",1,"[15, 45, 64]",58
46,haruvyetal2001,6,"[[10, 100, 40], [0, 70, 50], [20, 50, 60]]",,"[28/58, 4/58, 25/58]",,"[3, 3]",1,"[16, 46]",58
47,haruvyetal2001,7,"[[25, 30, 100], [60, 31, 51], [95, 30, 0]]",,"[31/58, 8/58, 19/58]",,"[3, 3]",1,"[17, 47, 73]",58
48,haruvyetal2001,8,"[[80, 60, 0], [40, 10, 50], [100, 5, 20]]",,"[27/58, 9/58, 22/58]",,"[3, 3]",1,,58
49,haruvyetal2001,9,"[[75, 0, 45], [80, 35, 45], [100, 35, 41]]",,"[3/58, 14/58, 41/58]",,"[3, 3]",1,"[14, 49]",58
50,haruvyetal2001,10,"[[30, 100, 50], [40, 0, 90], [50, 75, 29]]",,"[32/58, 12/58, 14/58]",,"[3, 3]",1,"[18, 50]",58
51,haruvyetal2001,11,"[[0, 100, 50], [90, 63, 50], [46, 82, 52]]",,"[15/58, 35/58, 8/35]",,"[3, 3]",1,,58
52,haruvyetal2001,12,"[[40, 100, 65], [33, 25, 65], [80, 0, 65]]",,"[35/58, 3/58, 20/58]",,"[3, 3]",1,"[20, 52]",58
53,haruvyetal2001,13,"[[45, 50, 21], [41, 0, 40], [40, 100, 0]]",,"[13/58, 10/58, 35/58]",,"[3, 3]",1,"[21, 53]",58
54,haruvyetal2001,14,"[[30, 100, 22], [35, 0, 45], [51, 50, 20]]",,"[33/58, 2/58, 23/58]",,"[3, 3]",1,"[22, 54, 67]",58
55,haruvyetal2001,15,"[[40, 15, 70], [22, 80, 0], [30, 100, 55]]",,"[17/58, 2/58, 39/58]",,"[3, 3]",1,"[23, 55, 61]",58
56,haruvystahl2007,1,"[[70, 60, 90], [60, 80, 50], [40, 20, 100]]",,"[116/147, 7/147, 24/147]",,"[3, 3]",1,,147
57,haruvystahl2007,2,"[[60, 0, 0], [0, 55, 25], [100, 35, 35]]",,"[1/147, 10/147, 136/147]",,"[3, 3]",1,,147
58,haruvystahl2007,3,"[[25, 30, 100], [40, 45, 65], [31, 0, 40]]",,"[65/147, 76/147, 6/147]",,"[3, 3]",1,"[12, 41, 58]",147
59,haruvystahl2007,4,"[[70, 30, 20], [60, 60, 30], [45, 45, 40]]",,"[21/147, 118/147, 8/147]",,"[3, 3]",1,,147
60,haruvystahl2007,5,"[[35, 70, 35], [0, 60, 0], [25, 0, 55]]",,"[134/147, 4/147, 9/147]",,"[3, 3]",1,,147
61,haruvystahl2007,6,"[[40, 15, 70], [22, 80, 0], [30, 100, 55]]",,"[32/147, 5/147, 110/147]",,"[3, 3]",1,"[23, 55, 61]",147
62,haruvystahl2007,7,"[[60, 30, 60], [50, 25, 25], [30, 20, 70]]",,"[124/147, 5/147, 18/147]",,"[3, 3]",1,,147
63,haruvystahl2007,8,"[[35, 35, 70], [25, 55, 100], [0, 0, 60]]",,"[4/147, 139/147, 4/147]",,"[3, 3]",1,,147
64,haruvystahl2007,9,"[[30, 50, 100], [40, 45, 10], [35, 60, 0]]",,"[120/147, 19/147, 8/147]",,"[3, 3]",1,"[15, 45, 64]",147
65,haruvystahl2007,10,"[[25, 45, 55], [35, 50, 35], [30, 45, 60]]",,"[3/147, 7/147, 137/147]",,"[3, 3]",1,,147
66,haruvystahl2007,11,"[[55, 25, 65], [35, 35, 70], [0, 0, 60]]",,"[98/147, 46/147, 3/147]",,"[3, 3]",1,,147
67,haruvystahl2007,12,"[[30, 100, 22], [35, 0, 45], [51, 50, 20]]",,"[96/147, 13/147, 38/147]",,"[3, 3]",1,"[22, 54, 67]",147
68,haruvystahl2007,13,"[[60, 60, 30], [30, 70, 20], [70, 25, 35]]",,"[102/147, 15/147, 30/147]",,"[3, 3]",1,,147
69,haruvystahl2007,14,"[[50, 0, 0], [70, 35, 35], [0, 25, 55]]",,"[4/147, 128/147, 15/147]",,"[3, 3]",1,,147
70,haruvystahl2007,15,"[[75, 40, 45], [70, 15, 100], [70, 60, 0]]",,"[43/147, 77/147, 27/147]",,"[3, 3]",1,"[13, 42, 70]",147
71,haruvystahl2007,16,"[[20, 0, 60], [0, 60, 0], [10, 25, 25]]",,"[110/147, 22/147, 15/147]",,"[3, 3]",1,,147
72,haruvystahl2007,17,"[[50, 0, 0], [0, 55, 25], [100, 35, 35]]",,"[4/147, 10/147, 133/147]",,"[3, 3]",1,,147
73,haruvystahl2007,18,"[[25, 30, 100], [60, 31, 51], [95, 30, 0]]",,"[72/147, 28/147, 47/147]",,"[3, 3]",1,"[17, 47, 73]",147
74,haruvystahl2007,19,"[[80, 60, 50], [60, 70, 90], [0, 0, 100]]",,"[29/147, 97/147, 21/147]",,"[3, 3]",1,"[74, 86]",147
75,haruvystahl2007,20,"[[55, 0, 25], [50, 50, 30], [35, 100, 35]]",,"[2/147, 11/147, 134/147]",,"[3, 3]",1,,147
76,stahlharuvy2008,1,"[[0, 35, 100], [55, 40, 20], [30, 0, 0]]",,"[26/75, 49/75, 0/75]",,"[3, 3]",1,,75
77,stahlharuvy2008,2,"[[1, 0, 0], [100, 10, 5], [5, 5, 90]]",,"[1/75, 36/75, 38/75]",,"[3, 3]",1,,75
78,stahlharuvy2008,3,"[[30, 50, 100], [40, 45, 10], [35, 60, 0]]",,"[64/75, 8/75, 3/75]",,"[3, 3]",1,,75
79,stahlharuvy2008,4,"[[55, 10, 100], [5, 90, 5], [15, 0, 0]]",,"[62/75, 12/75, 1/75]",,"[3, 3]",1,,75
80,stahlharuvy2008,5,"[[80, 80, 20], [20, 100, 0], [100, 10, 30]]",,"[53/75, 4/75, 18/75]",,"[3, 3]",1,,75
81,stahlharuvy2008,6,"[[10, 5, 5], [100, 30, 35], [0, 80, 30]]",,"[1/75, 41/75, 33/75]",,"[3, 3]",1,,75
82,stahlharuvy2008,7,"[[80, 10, 5], [25, 0, 10], [5, 100, 20]]",,"[36/75, 1/75, 38/75]",,"[3, 3]",1,,75
83,stahlharuvy2008,8,"[[15, 0, 0], [0, 90, 10], [100, 0, 20]]",,"[0/75, 42/75, 33/75]",,"[3, 3]",1,,75
84,stahlharuvy2008,9,"[[35, 0, 100], [1, 100, 1], [10, 40, 40]]",,"[44/75, 27/75, 4/75]",,"[3, 3]",1,,75
85,stahlharuvy2008,10,"[[0, 0, 38], [55, 25, 40], [35, 35, 43]]",,"[0/75, 12/75, 63/75]",,"[3, 3]",1,,75
86,stahlharuvy2008,11,"[[80, 60, 50], [60, 70, 90], [0, 0, 100]]",,"[17/75, 52/75, 6/75]",,"[3, 3]",1,"[74, 86]",75
87,stahlharuvy2008,12,"[[20, 100, 20], [5, 5, 5], [0, 5, 90]]",,"[54/75, 0/75, 21/75]",,"[3, 3]",1,,75
88,stahlharuvy2008,13,"[[70, 90, 38], [100, 0, 40], [88, 48, 43]]",,"[39/75, 14/75, 22/75]",,"[3, 3]",1,"[44, 88]",75
89,stahlharuvy2008,14,"[[10, 10, 10], [15, 80, 15], [100, 0, 30]]",,"[1/75, 43/75, 31/75]",,"[3, 3]",1,,75
90,stahlharuvy2008,15,"[[20, 0, 100], [10, 90, 0], [0, 0, 5]]",,"[30/75, 44/75, 1/75]",,"[3, 3]",1,,75
91,stahlharuvy2008,16,"[[75, 10, 100], [5, 90, 5], [0, 1, 1]]",,"[36/47, 11/47, 0/47]",,"[3, 3]",1,,47
92,stahlharuvy2008,17,"[[1, 0, 0], [10, 90, 10], [100, 5, 20]]",,"[0/47, 29/47, 18/47]",,"[3, 3]",1,,47
93,stahlharuvy2008,18,"[[10, 100, 10], [0, 0, 0], [5, 5, 90]]",,"[13/47, 0/47, 34/47]",,"[3, 3]",1,,47
94,costa-gomes2001,2a,,,,,,,,72
95,costa-gomes2001,2b,,,,,,,,72
96,costa-gomes2001,3a,,,,,,,,72
97,costa-gomes2001,3b,,,,,,,,72
98,costa-gomes2001,4a,,,,,,,,72
99,costa-gomes2001,4b,,,,,,,,72
100,costa-gomes2001,4c,,,,,,,,72
101,costa-gomes2001,4d,,,,,,,,72
102,costa-gomes2001,5b,,,,,,,,72
103,costa-gomes2001,6b,,,,,,,,72
104,costa-gomes2001,7b,,,,,,,,72
105,costa-gomes2001,8b,,,,,,,,72
106,costa-gomes2001,9a,,,,,,,,72
107,costa-gomes2001,9b,,,,,,,,72
